sender,receiver,amount,timestamp,is_fraud
0x4fbc7ac75ecfb7d9bc8d6b0068fe9df0afcc1f32,0xe98d81b4fcc0b59365dbfab96e79c1a124d609f6,840.5600351968444,2025-04-14 19:40:35,0
0x897f0bda8b632da85c647a18bdb0d7b22e07e71f,0x4981c52fd80b291aee0ba72a3bce4b895cb84db9,8867.925240089471,2025-04-12 19:40:35,1
0x2dca4985dd093a5d791dc9a77695d05b683319b6,0xc9ff22b568f65025595d4bb51a44966cece71c5b,5896.707168890843,2025-03-26 19:40:35,0
0x9317179256dc8bdcfd481446df51f8e0333d1b0a,0xc1a02879d4cd38007c4e1f9563431c8581f621bf,7422.620234381812,2025-04-13 19:40:35,1
0x9a6e6cb1132949a7058bf3e4bdbb682434ab1bbf,0x4086f85af3f4e94ca4d6cf747456d4ced7f83591,7846.662347387216,2025-04-12 19:40:35,0
0xf8fb64d0fdcbb580c659a7da1bb881ca82b95d9e,0x7eac51107adc73bd019485443f6b6aca0584eded,2629.9709295387815,2025-04-22 19:40:35,1
0x11e710efdd882cee596cfb984fb64f345c838c91,0xe8133cb087e12c5c025956bc7d551e19bfae1aaa,8523.371527297539,2025-04-10 19:40:35,0
0x59bda0ffc46a0baad10d7d2356c2018556c8a9e2,0x680db2c3cd4aa18e0e6dbb950921c3a1f4b756b0,7500.045976649306,2025-03-31 19:40:35,0
0xc9ff22b568f65025595d4bb51a44966cece71c5b,0x4bf5a906b5e4b03f122ae44bc75d87e5300ba96a,3286.9783566384813,2025-04-14 19:40:35,0
0x7c469bf11a09ad2003eb6298ec1938c463871b00,0x9040329b6a652bd9adb14e371cb9869c922a574b,2885.62885165132,2025-04-20 19:40:35,1
0xa78bc6ba323e4b481462e1c2d8d8573569d9d7d4,0xe8133cb087e12c5c025956bc7d551e19bfae1aaa,7442.475347158157,2025-04-19 19:40:35,0
0x2dca4985dd093a5d791dc9a77695d05b683319b6,0x04c0f7b42a24978786a9cf1a7f90bdc3f2cdb70f,7357.348234585808,2025-04-02 19:40:35,0
0x5c6ae4c6075733de39c9c28f3ab8f16ed0905a63,0x5c6ae4c6075733de39c9c28f3ab8f16ed0905a63,8015.193748923249,2025-04-03 19:40:35,1
0xe98d81b4fcc0b59365dbfab96e79c1a124d609f6,0x897f0bda8b632da85c647a18bdb0d7b22e07e71f,2948.707040059978,2025-04-16 19:40:35,1
